date;day_type;time;real_time;infestation;replicate;specimen;species;shell_temp;no_pic
2022/02/09;sunny;0;12:53;infested;1;1;Acanthochitona garnoti;24,5;M1
2022/02/09;sunny;0;12:53;infested;1;2;Acanthochitona garnoti;24,3;M2
2022/02/09;sunny;0;12:53;infested;1;3;Acanthochitona garnoti;25,8;M3
2022/02/09;sunny;0;12:53;infested;1;4;Acanthochitona garnoti;24,5;M4
2022/02/09;sunny;0;12:53;infested;1;5;Acanthochitona garnoti;24;M5
2022/02/09;sunny;0;12:53;infested;1;6;Acanthochitona garnoti;26,3;M6
2022/02/09;sunny;0;12:53;infested;1;7;Acanthochitona garnoti;25,9;M7
2022/02/09;sunny;0;12:53;non infested;1;1;Acanthochitona garnoti;25;M1
2022/02/09;sunny;0;12:53;non infested;1;2;Acanthochitona garnoti;25,6;M2
2022/02/09;sunny;0;12:53;non infested;1;3;Acanthochitona garnoti;26,7;M3
2022/02/09;sunny;0;12:53;non infested;1;4;Acanthochitona garnoti;25,2;M4
2022/02/09;sunny;0;12:53;non infested;1;5;Acanthochitona garnoti;27,8;M5
2022/02/09;sunny;0;12:53;non infested;1;6;Acanthochitona garnoti;25,4;M6
2022/02/09;sunny;0;12:53;non infested;1;7;Acanthochitona garnoti;25,6;M7
2022/02/09;sunny;0;12:53;infested;2;1;Acanthochitona garnoti;25,4;M1
2022/02/09;sunny;0;12:53;infested;2;2;Acanthochitona garnoti;24,1;M2
2022/02/09;sunny;0;12:53;infested;2;3;Acanthochitona garnoti;25;M3
2022/02/09;sunny;0;12:53;infested;2;4;Acanthochitona garnoti;23,4;M4
2022/02/09;sunny;0;12:53;infested;2;5;Acanthochitona garnoti;22,4;M5
2022/02/09;sunny;0;12:53;infested;2;6;Acanthochitona garnoti;25,4;M6
2022/02/09;sunny;0;12:53;infested;2;7;Acanthochitona garnoti;23,3;M7
2022/02/09;sunny;0;12:53;non infested;2;1;Acanthochitona garnoti;27,1;M1
2022/02/09;sunny;0;12:53;non infested;2;2;Acanthochitona garnoti;25,5;M2
2022/02/09;sunny;0;12:53;non infested;2;3;Acanthochitona garnoti;26,9;M3
2022/02/09;sunny;0;12:53;non infested;2;4;Acanthochitona garnoti;25,4;M4
2022/02/09;sunny;0;12:53;non infested;2;5;Acanthochitona garnoti;26,6;M5
2022/02/09;sunny;0;12:53;non infested;2;6;Acanthochitona garnoti;25,5;M6
2022/02/09;sunny;0;12:53;non infested;2;7;Acanthochitona garnoti;25,5;M7
2022/02/09;sunny;0;12:53;infested;3;1;Acanthochitona garnoti;26,3;M1
2022/02/09;sunny;0;12:53;infested;3;2;Acanthochitona garnoti;23,6;M2
2022/02/09;sunny;0;12:53;infested;3;3;Acanthochitona garnoti;25,6;M3
2022/02/09;sunny;0;12:53;infested;3;4;Acanthochitona garnoti;25,1;M4
2022/02/09;sunny;0;12:53;infested;3;5;Acanthochitona garnoti;24,8;M5
2022/02/09;sunny;0;12:53;infested;3;6;Acanthochitona garnoti;25,8;M6
2022/02/09;sunny;0;12:53;infested;3;7;Acanthochitona garnoti;27,2;M7
2022/02/09;sunny;0;12:53;non infested;3;1;Acanthochitona garnoti;25,8;M1
2022/02/09;sunny;0;12:53;non infested;3;2;Acanthochitona garnoti;26,9;M2
2022/02/09;sunny;0;12:53;non infested;3;3;Acanthochitona garnoti;28;M3
2022/02/09;sunny;0;12:53;non infested;3;4;Acanthochitona garnoti;27,1;M4
2022/02/09;sunny;0;12:53;non infested;3;5;Acanthochitona garnoti;26,5;M5
2022/02/09;sunny;0;12:53;non infested;3;6;Acanthochitona garnoti;27,2;M6
2022/02/09;sunny;0;12:53;non infested;3;7;Acanthochitona garnoti;26,5;M7
2022/02/09;sunny;15;13:08;infested;1;1;Acanthochitona garnoti;31,3;M1
2022/02/09;sunny;15;13:08;infested;1;2;Acanthochitona garnoti;31,7;M2
2022/02/09;sunny;15;13:08;infested;1;3;Acanthochitona garnoti;32,5;M3
2022/02/09;sunny;15;13:08;infested;1;4;Acanthochitona garnoti;34,5;M4
2022/02/09;sunny;15;13:08;infested;1;5;Acanthochitona garnoti;32,6;M5
2022/02/09;sunny;15;13:08;non infested;1;1;Acanthochitona garnoti;33,4;M1
2022/02/09;sunny;15;13:08;non infested;1;2;Acanthochitona garnoti;34,8;M2
2022/02/09;sunny;15;13:08;non infested;1;3;Acanthochitona garnoti;35,6;M3
2022/02/09;sunny;15;13:08;non infested;1;4;Acanthochitona garnoti;34;M4
2022/02/09;sunny;15;13:08;non infested;1;5;Acanthochitona garnoti;35,4;M5
2022/02/09;sunny;15;13:08;non infested;1;6;Acanthochitona garnoti;31,1;M6
2022/02/09;sunny;15;13:08;non infested;1;7;Acanthochitona garnoti;33;M7
2022/02/09;sunny;15;13:08;infested;2;1;Acanthochitona garnoti;28,2;M1
2022/02/09;sunny;15;13:08;infested;2;2;Acanthochitona garnoti;29,5;M2
2022/02/09;sunny;15;13:08;infested;2;3;Acanthochitona garnoti;28,1;M3
2022/02/09;sunny;15;13:08;infested;2;4;Acanthochitona garnoti;29,5;M4
2022/02/09;sunny;15;13:08;non infested;2;1;Acanthochitona garnoti;32,3;M1
2022/02/09;sunny;15;13:08;non infested;2;2;Acanthochitona garnoti;34,7;M2
2022/02/09;sunny;15;13:08;non infested;2;3;Acanthochitona garnoti;35,3;M3
2022/02/09;sunny;15;13:08;non infested;2;4;Acanthochitona garnoti;29,7;M4
2022/02/09;sunny;15;13:08;non infested;2;5;Acanthochitona garnoti;31,8;M5
